quarter,grossValueAdded,quarterlyAVG
2010 Q1,112910065,102439350
2010 Q2,136366634,102439350
2010 Q3,69018068,102439350
2010 Q4,116660659,102439350
2011 Q1,133175165,102439350
2011 Q2,133560025,102439350
2011 Q3,62064086,102439350
2011 Q4,107130798,102439350
2012 Q1,108924691,102439350
2012 Q2,114089756,102439350
2012 Q3,69511120,102439350
2012 Q4,99784088,102439350
2013 Q1,122183507,102439350
2013 Q2,114144141,102439350
2013 Q3,68076514,102439350
2013 Q4,96447862,102439350
2014 Q1,111250168,102439350
2014 Q2,114929714,102439350
2014 Q3,79630767,102439350
2014 Q4,102639760,102439350
2015 Q1,111057159,102439350
2015 Q2,126809350,102439350
2015 Q3,71286961,102439350
2015 Q4,113199810,102439350
2016 Q1,120985418,102439350
2016 Q2,101664534,102439350
2016 Q3,61237204,102439350
2016 Q4,89563770,102439350
